Año,Aerolinea,Mes,Pasajeros
2003,Aerolineas Internacionales,1,59451
2003,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,63377
2003,Aeromar,1,45151
2003,Aerovías Caribe S.A  de C.V,1,43733
2003,Aeroméxico (Aerovías de México),1,496748
2003,Aviacsa (Consorcio Aviaxsa),1,153322
2003,Grupo  Aereo Monterrey,1,20174
2003,Lineas Aereas Allegro,1,27122
2003,Lineas Aereas Azteca,1,37607
2003,Mexicana (Mexicana de Aviación),1,355538
2004,Aero Cuahonte S.A de C.V,1,352
2004,Aerocalifornia,1,152863
2004,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,65789
2004,Aeromar,1,39421
2004,Aerovías Caribe S.A  de C.V,1,49401
2004,Aeroméxico (Aerovías de México),1,500039
2004,Aviacsa (Consorcio Aviaxsa),1,206875
2004,Grupo  Aereo Monterrey,1,38300
2004,Lineas Aereas Azteca,1,54354
2004,Mexicana (Mexicana de Aviación),1,363658
2005,ABC Aerolineas,1,0
2005,Aerocalifornia,1,152095
2005,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,74904
2005,Aeromar,1,37799
2005,Aerovías Caribe S.A  de C.V,1,53129
2005,Aeroméxico (Aerovías de México),1,519538
2005,Aviacsa (Consorcio Aviaxsa),1,221625
2005,Avolar,1,0
2005,Grupo Aereo  Monterrey,1,39715
2005,Lineas Aereas Azteca,1,65117
2005,Mexicana (Mexicana de Aviación),1,350800
2006,ABC Aerolíneas,1,48938
2006,Aerocalifornia,1,121445
2006,Aeroenlaces,1,0
2006,Aerolineas Mesoamericanas,1,0
2006,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,66590
2006,Aeromar,1,45676
2006,Aerovías Caribe S.A  de C.V,1,106191
2006,Aeroméxico (Aerovías de México),1,471756
2006,Aviacsa (Consorcio Aviaxsa),1,247472
2006,Avolar,1,8894
2006,Grupo  Aereo Monterrey,1,37951
2006,Lineas Aereas Azteca,1,85903
2006,Mexicana (Mexicana de Aviación),1,346012
2006,Vuela,1,0
2007,Aeroméxico (Aerovías de México),1,437019
2007,Mexicana (Mexicana de Aviación),1,311402
2007,Aviacsa (Consorcio Aviaxsa),1,284773
2007,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,147512
2007,Vuela,1,93086
2007,Aerovías Caribe S.A  de C.V,1,115818
2007,ABC Aerolineas,1,110661
2007,Aerocalifornia,1,77654
2007,Aeroenlaces,1,59961
2007,Avolar,1,71119
2007,Aerolineas Mesoamericanas,1,47740
2007,Grupo Aereo  Monterrey,1,53613
2007,Aeromar,1,39808
2007,Lineas Aereas Azteca,1,70803
2008,ABC Aerolineas,1,210890
2008,Aerocalifornia,1,110436
2008,Aeroenlaces,1,93269
2008,Aerolineas Mesoamericanas,1,100205
2008,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,227906
2008,Aeromar,1,27114
2008,Aerovías Caribe S.A  de C.V,1,169101
2008,Aeroméxico (Aerovías de México),1,383278
2008,Aviacsa (Consorcio Aviaxsa),1,236875
2008,Avolar,1,90946
2008,Grupo Aereo  Monterrey,1,36778
2008,Mexicana (Mexicana de Aviación),1,346892
2008,Vuela,1,267467
2009,Aeroméxico Connect (Aerolitoral),1,288691
2009,Aeroméxico (Aerovias de México),1,350308
2009,Click (Aerovías Caribe),1,317784
2009,Volaris (Concesionaria Vuela Cia de Aviación),1,262013
2009,Interjet (ABC Aerolíneas),1,267878
2009,Mexicana (Mexicana de Aviación),1,242717
2009,Vivaaerobus (Aeroenlaces),1,76800
2009,Aviacsa (Consorcio Aviaxsa),1,211433
2009,Magnicharters (Grupo Aéreo Monterrey),1,44144
2009,Aeromar,1,34813
2009,Mexicana Link,1,0
2009,Aerocalifornia,1,0
2009,Alma (Aerolineas Mesoamericanas),1,0
2009,Avolar,1,0
2010,Aeroméxico Connect (Aerolitoral),1,327710
2010,Click (Aerovías Caribe),1,304636
2010,Aeroméxico (Aerovías de México),1,264762
2010,Interjet (ABC Aerolíneas),1,259100
2010,Volaris (Concesionaria Vuela Cia de Aviación),1,277442
2010,Mexicana (Mexicana de Aviación),1,185068
2010,Vivaaerobus (Aeroenlaces),1,125264
2010,Mexicana Link ,1,59579
2010,Aeromar,1,40551
2010,Magnicharters (Grupo Aéreo Monterrey),1,35121
2010,Aeroméxico Travel,1,0
2011,Interjet (ABC Aerolíneas),1,458552
2011,Aeroméxico Connect (Aerolitoral),1,400804
2011,Aeroméxico (Aerovías de México),1,366304
2011,Volaris (Concesionaria Vuela Cia de Aviación),1,353319
2011,Vivaaerobus (Aeroenlaces),1,189179
2011,Magnicharters (Grupo Aéreo Monterrey),1,56284
2011,Aeromar,1,34279
2012,Interjet (ABC Aerolíneas),1,558803
2012,Aeroméxico Connect (Aerolitoral),1,423071
2012,Aeroméxico (Aerovías de México),1,407572
2012,Volaris (Concesionaria Vuela Cia de Aviación),1,404736
2012,Vivaaerobus (Aeroenlaces),1,223444
2012,Magnicharters (Grupo Aéreo Monterrey),1,49224
2012,Aeromar,1,39748
2013,Interjet (ABC Aerolíneas),1,555668
