Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2007,Aviacsa (Consorcio Aviaxsa),284773,254855,304141,281781,291193,246021,299739,273890,238450,239629,217452,275620,3207544
2007,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,147512,152223,190500,181118,196781,197719,213204,216174,197335,216614,210190,222129,2341499
2007,Vuela,93086,100053,140799,169401,164193,191800,241599,227747,176793,186897,218232,266342,2176942
2007,Aerovías Caribe S.A  de C.V,115818,127596,164833,179377,177521,171550,206816,184565,155315,181902,185152,170906,2021351
2007,ABC Aerolineas,110661,93617,129954,137931,145593,154694,229444,200726,149043,165072,190484,221982,1929201
2007,Aerocalifornia,77654,85355,102630,112576,113646,117324,139975,132930,113046,126044,108914,108402,1338496
2007,Aeroenlaces,59961,53302,86742,84777,115052,116730,156818,130740,85980,95419,109521,121057,1216099
2007,Avolar,71119,62946,70572,85952,77499,78599,93829,93972,71374,81166,74288,89569,950885
2007,Aerolineas Mesoamericanas,47740,40948,61484,60368,66586,70606,91458,89383,73301,63183,105431,112549,883037
2007,Grupo Aereo  Monterrey,53613,47538,50777,63376,51595,62000,75907,68831,51388,43814,46282,41001,656122
2007,Aeromar,39808,36973,47289,42984,49604,46987,47385,43564,38783,42675,36545,30507,503104
2007,Lineas Aereas Azteca,70803,42770,0,0,0,0,0,0,0,0,0,0,113573
2008,ABC Aerolineas,210890,231223,249376,215901,252068,247312,317752,255142,192517,251153,281159,290021,2994514
2008,Aerocalifornia,110436,103387,114203,42304,94803,83992,0,0,0,0,0,0,549125
2008,Aeroenlaces,93269,113186,151059,135538,139639,124340,145063,109566,72294,72947,81565,95690,1334156
2008,Aerolineas Mesoamericanas,100205,101241,112905,96419,85942,83034,104560,99295,80528,0,0,0,864129
2008,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,227906,228622,245374,243958,249943,243625,267200,266907,228356,238355,286460,278360,3005066
2008,Aeromar,27114,35872,32363,37575,37537,37405,36234,37567,36998,39695,42594,37381,438335
2008,Aerovías Caribe S.A  de C.V,169101,167983,215708,206827,239832,244593,303505,295724,295794,330593,342526,335309,3147495
2008,Aeroméxico (Aerovías de México),383278,376080,400208,398711,404561,404490,437669,416873,376580,388850,380929,369839,4738068
2008,Aviacsa (Consorcio Aviaxsa),236875,171166,244075,227267,237761,216622,235317,212078,186325,203954,219447,239771,2630658
2008,Avolar,90946,78843,88705,51232,52515,42769,47194,36075,5810,0,0,0,494089
2008,Grupo Aereo  Monterrey,36778,36135,59888,51460,62757,29378,54603,53551,46038,47266,51010,60461,589325
